alpha,coexpr_threshold,n_iters,ppi_weight,coexpr_weight,overall_pcc,mi_pcc,mu_pcc,mu_pcc_delta
0.5,0.3,20,0.5,0.5,0.2164245992898941,0.44496041536331177,0.039419449865818024,-0.0026471689343452454
0.5,0.3,5,0.3,0.7,0.21691913902759552,0.44496041536331177,0.03966328874230385,-0.0024033300578594208
0.5,0.3,10,0.3,0.7,0.2169046849012375,0.44496041536331177,0.03961912915110588,-0.0024474896490573883
0.5,0.3,20,0.3,0.7,0.21690449118614197,0.44496041536331177,0.03961868956685066,-0.002447929233312607
0.5,0.5,5,0.7,0.30000000000000004,0.21515777707099915,0.44496041536331177,0.03809475526213646,-0.00397186353802681
0.5,0.5,10,0.7,0.30000000000000004,0.21516956388950348,0.44496041536331177,0.03810057044029236,-0.003966048359870911
0.5,0.5,20,0.7,0.30000000000000004,0.21516965329647064,0.44496041536331177,0.03810059651732445,-0.003966022282838821
0.5,0.5,5,0.5,0.5,0.21558815240859985,0.44496041536331177,0.0379873551428318,-0.004079263657331467
0.5,0.5,10,0.5,0.5,0.21560345590114594,0.44496041536331177,0.03798936679959297,-0.004077252000570297
0.5,0.5,20,0.5,0.5,0.21560350060462952,0.44496041536331177,0.03798936307430267,-0.004077255725860596
0.5,0.5,5,0.3,0.7,0.21580542623996735,0.44496041536331177,0.03785044699907303,-0.0042161718010902405
0.5,0.5,10,0.3,0.7,0.21582837402820587,0.44496041536331177,0.03784423694014549,-0.0042223818600177765
0.5,0.5,20,0.3,0.7,0.21582850813865662,0.44496041536331177,0.03784411400556564,-0.004222504794597626
0.5,0.7,5,0.7,0.30000000000000004,0.21426989138126373,0.44496041536331177,0.03819934278726578,-0.0038672760128974915
0.5,0.7,10,0.7,0.30000000000000004,0.21428225934505463,0.44496041536331177,0.03820614516735077,-0.0038604736328125
0.5,0.7,20,0.7,0.30000000000000004,0.21428237855434418,0.44496041536331177,0.03820620849728584,-0.003860410302877426
0.5,0.7,5,0.5,0.5,0.21429431438446045,0.44496041536331177,0.03819626197218895,-0.0038703568279743195
0.5,0.7,10,0.5,0.5,0.21430663764476776,0.44496041536331177,0.03820298984646797,-0.0038636289536952972
0.5,0.7,20,0.5,0.5,0.21430672705173492,0.44496041536331177,0.03820303827524185,-0.0038635805249214172
0.5,0.7,5,0.3,0.7,0.21434132754802704,0.44496041536331177,0.03818745166063309,-0.003879167139530182
0.5,0.7,10,0.3,0.7,0.2143537849187851,0.44496041536331177,0.03819398581981659,-0.0038726329803466797
